"HITID","TUNISIA","Worker1","Answer1","Worker2","Answer2","Agreement","Answer","Date"
"24BL0XULRGNTOTHXENO5NP7N9Y6Q4Z","My Main fear in all that is going in #tunisia is the fate of the animal farm by G O.get rid of one thief to replace him with 10 more","A182JW8U6PO60U","afraid","A53VNQRRFQ785","afraid","Yes","afraid","Sat Nov 10 22:21:18 UTC 2012"
"2ETAT2D5NQYNIPH1ST751YMNFSL483","Sh Salman Al-Odah: feed ur people before they eat u alive and most importantly feed them freedom! #sidibouzid #tunisia #binali","A182JW8U6PO60U","angry","AMAAE4PQGWD99","angry","Yes","angry","Sat Nov 10 16:26:07 UTC 2012"
"25HFYQS1CSTM1PB252VIK1EYGJKLOG","Theres no coverage on tv about the flood in brazil or the riots in tunisia? Yet they showing the shootings that happened in arizona? #WTF","A182JW8U6PO60U","angry","A2I8VBHRESMG9S","angry","Yes","angry","Fri Nov 09 03:55:54 UTC 2012"
"2JVIPDOBDDP82TAVMN485MB3TZW1CT","Make sure son of a bitch do not escape. We want him alive. Keep an eye sky (heli. ets . airport) #sidibouzid #tunisia","A182JW8U6PO60U","angry","A3I9UOCM5EXMR2","angry","Yes","angry","Fri Nov 09 06:32:17 UTC 2012"
"25KGMMEGOOGQ5M0HAK120EIUXQNBBF","Tunisian people have had enough of vague promises !! #tunisia","A182JW8U6PO60U","angry","A1VKHE5L6QVFUV","angry","Yes","angry","Fri Nov 09 06:41:10 UTC 2012"
"2UJX3V0FK0COXCXPTWYPSK9LUSSNGW","@ThomasCookUK worst holiday I ever had was to tunisia with thomas cook. Still waiting on a reply from customer service about my complaint","A182JW8U6PO60U","angry","A1VKHE5L6QVFUV","angry","Yes","angry","Fri Nov 09 05:07:07 UTC 2012"
"204JUNU8LZ6RKAUGJJZDGJ3VH3JJ3H","my tunisia :'(((((((((((((( fuuuckkk off","A182JW8U6PO60U","angry","AMAAE4PQGWD99","angry","Yes","angry","Sat Nov 10 16:21:38 UTC 2012"
"2BGT3DHJHP4BQNYRW8ZR0X9X6CPV22","Behind Tunisia Unrest. Rage Over Wealth of Ruling Family http://www.nytimes.com/2011/01/14/world/africa/14tunisia.html?_r=1&hp","A182JW8U6PO60U","angry","A53VNQRRFQ785","angry","Yes","angry","Fri Nov 09 23:41:50 UTC 2012"
"22ESBRI8IUB2B4NJBRJTTB3L3BYG4V","Those who are oppressing their nations should be held accountable and should not stay in power #sidibouzid #tunisia #qaradawi","A182JW8U6PO60U","angry","AMAAE4PQGWD99","angry","Yes","angry","Sat Nov 10 16:23:04 UTC 2012"
"26YFL6VCPWZ94XR7AYM107SN69FN8G","@nawaks78 is reporting that Internet is again being censored in #tunisia  #sidibouzid","A182JW8U6PO60U","angry","AMAAE4PQGWD99","angry","Yes","angry","Sat Nov 10 16:22:15 UTC 2012"
